product_id,product_name,category,subcategory,brand,base_price,unit_cost,launch_date,reorder_priority
1,DailyBite Snacks Item 1,Grocery,Snacks,DailyBite,1.34,0.81,2021-07-09,Medium
2,Natura Snacks Item 2,Grocery,Snacks,Natura,8.31,4.74,2024-11-08,Medium
3,FreshCo Snacks Item 3,Grocery,Snacks,FreshCo,5.91,3.37,2022-11-18,High
4,DailyBite Snacks Item 4,Grocery,Snacks,DailyBite,9.57,7.25,2023-04-01,High
5,FreshCo Snacks Item 5,Grocery,Snacks,FreshCo,9.34,6.54,2021-10-10,Low
6,DailyBite Snacks Item 6,Grocery,Snacks,DailyBite,2.14,1.35,2022-12-02,Low
7,UrbanFarm Snacks Item 7,Grocery,Snacks,UrbanFarm,6.35,3.88,2022-06-30,High
8,UrbanFarm Snacks Item 8,Grocery,Snacks,UrbanFarm,2.54,1.78,2025-01-02,Low
9,FreshCo Snacks Item 9,Grocery,Snacks,FreshCo,7.1,5.46,2021-09-29,Low
10,FreshCo Snacks Item 10,Grocery,Snacks,FreshCo,5.79,4.37,2022-09-08,Low
11,DailyBite Snacks Item 11,Grocery,Snacks,DailyBite,9.21,6.83,2021-03-09,Medium
12,FreshCo Snacks Item 12,Grocery,Snacks,FreshCo,9.55,5.76,2024-10-23,Medium
13,Natura Snacks Item 13,Grocery,Snacks,Natura,3.2,1.85,2023-02-02,High
14,Natura Snacks Item 14,Grocery,Snacks,Natura,4.15,2.38,2021-09-30,High
15,UrbanFarm Snacks Item 15,Grocery,Snacks,UrbanFarm,6.14,4.5,2024-02-05,Medium
16,Natura Snacks Item 16,Grocery,Snacks,Natura,5.12,3.11,2024-08-15,Medium
17,FreshCo Snacks Item 17,Grocery,Snacks,FreshCo,2.61,1.53,2023-11-30,Low
18,FreshCo Snacks Item 18,Grocery,Snacks,FreshCo,1.59,1.06,2024-08-26,Low
19,FreshCo Snacks Item 19,Grocery,Snacks,FreshCo,7.28,4.18,2024-06-09,High
20,UrbanFarm Snacks Item 20,Grocery,Snacks,UrbanFarm,11.78,6.84,2024-03-22,Medium
21,DailyBite Snacks Item 21,Grocery,Snacks,DailyBite,3.93,2.49,2021-12-20,High
